"ID","iso_code","洲名","國家","日期","總確診數","新增確診數","七天移動平均新增確診數","總死亡數","新增死亡數","七天移動平均新增死亡數","每百萬人確診數","每百萬人死亡數","傳染率","新增檢驗件數","總檢驗件數","每千人檢驗件數","七天移動平均新增檢驗件數","陽性率","每確診案例相對檢驗數量","疫苗總接種總劑數","疫苗總接種人數","疫苗新增接種劑數","七天移動平均疫苗新增接種劑數","每百人接種疫苗劑數","每百人接種疫苗人數","疫情控管指數","總人口數","中位數年紀","70歲以上人口比例","平均壽命","解除隔離數","解封指數"
"22,941","CHN","亞洲","中國大陸","2021-09-22","95,957","43","57.29","4,636","0","0.00","66.44","3.21","0.00","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","3,979,000","3,593,571.00","151.40","0.00","0.00","1,444,216,102","38.70","5.93","76.91","0","None"
"22,940","CHN","亞洲","中國大陸","2021-09-21","95,914","41","62.57","4,636","0","0.00","66.41","3.21","0.00","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","1,618,000","3,666,571.00","151.13","0.00","0.00","1,444,216,102","38.70","5.93","76.91","0","None"
"22,939","CHN","亞洲","中國大陸","2021-09-20","95,873","72","67.14","4,636","0","0.00","66.38","3.21","1.23","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","3,348,000","4,066,571.00","151.02","0.00","0.00","1,444,216,102","38.70","5.93","76.91","0","None"
"22,938","CHN","亞洲","中國大陸","2021-09-19","95,801","49","70.00","4,636","0","0.00","66.33","3.21","1.25","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","3,595,000","4,216,857.00","150.78","0.00","0.00","1,444,216,102","38.70","5.93","76.91","0","None"
"22,937","CHN","亞洲","中國大陸","2021-09-18","95,752","66","70.00","4,636","0","0.00","66.30","3.21","1.28","0","0","0.00","0.00","0.00","0.00","2,147,483,647","1,100,842,000","4,026,000","4,494,714.00","150.53","76.22","0.00","1,444,216,102","38.70","5.93","76.91","0","None"
"22,936","CHN","亞洲","中國大陸","2021-09-17","95,686","46","67.14","4,636","0","0.00","66.26","3.21","1.32","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","4,338,000","4,968,143.00","150.26","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,935","CHN","亞洲","中國大陸","2021-09-16","95,640","84","64.14","4,636","0","0.00","66.22","3.21","1.38","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","4,251,000","5,120,857.00","149.96","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,934","CHN","亞洲","中國大陸","2021-09-15","95,556","80","54.57","4,636","0","0.00","66.17","3.21","1.42","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","4,490,000","5,263,714.00","149.66","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,933","CHN","亞洲","中國大陸","2021-09-14","95,476","73","47.14","4,636","0","0.00","66.11","3.21","1.45","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","4,418,000","5,416,143.00","149.35","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,932","CHN","亞洲","中國大陸","2021-09-13","95,403","92","39.43","4,636","0","0.00","66.06","3.21","1.45","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","4,400,000","5,633,857.00","149.04","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,931","CHN","亞洲","中國大陸","2021-09-12","95,311","49","31.43","4,636","0","0.00","66.00","3.21","1.39","0","0","0.00","0.00","0.00","0.00","2,147,483,647","0","5,540,000","5,810,714.00","148.74","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,930","CHN","亞洲","中國大陸","2021-09-11","95,262","46","27.00","4,636","0","0.00","65.96","3.21","1.32","0","0","0.00","0.00","0.00","0.00","2,142,580,000","0","7,340,000","6,027,571.00","148.36","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,929","CHN","亞洲","中國大陸","2021-09-10","95,216","25","24.43","4,636","0","0.00","65.93","3.21","1.22","0","0","0.00","0.00","0.00","0.00","2,135,240,000","0","5,407,000","6,152,286.00","147.85","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,928","CHN","亞洲","中國大陸","2021-09-09","95,191","17","24.86","4,636","0","0.00","65.91","3.21","1.12","0","0","0.00","0.00","0.00","0.00","2,129,833,000","0","5,251,000","6,454,714.00","147.47","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
"22,927","CHN","亞洲","中國大陸","2021-09-08","95,174","28","26.43","4,636","0","0.00","65.90","3.21","1.06","0","0","0.00","0.00","0.00","0.00","2,124,582,000","0","5,557,000","6,879,143.00","147.11","0.00","76.39","1,444,216,102","38.70","5.93","76.91","0","None"
